ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,25+556,"19,024","7,459",15,695,"1,266","6,731",522,177,58,65,"36,012",7.73,40,"9,437",ขท.กรุงเทพ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,"179,799","41,887","2,317","4,873","13,781","69,678","10,445","4,613","1,350","1,003","329,746",10.94,281,"18,953",ขท.ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,"88,775","38,115","3,710","6,284","10,501","54,244","18,089","3,433","2,471","1,586","227,208",18.65,64,"13,728",ขท.ปทุมธานี,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,60+800,"32,416","26,851","7,781","2,670","3,454","8,219","7,342","8,422","7,236","7,333","111,724",32.63,0,"1,540",ขท.อยุธยา,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,67+300,"35,326","20,998","8,300","2,123","3,339","17,087","16,201","10,811","10,718","9,635","134,538",39.27,0,"1,544",ขท.อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,"33,019","31,501",776,"1,387","3,114","37,349","3,989","4,459","6,433","5,590","127,617",19.57,10,"2,348",ขท.สระบุรี,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,"14,023","14,549","1,925","1,499","1,615","6,229","2,419","2,793","6,288","6,904","58,244",36.95,191,"2,287",ขท.สระบุรี,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,"8,914","7,254","2,432","3,391","2,432","6,283","4,763","3,336","4,074","3,752","46,631",46.64,241,"5,148",ขท.สระบุรี,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,142+200,"8,247","8,618","1,558","1,089",483,"1,992","1,152","1,235","1,768","1,233","27,375",25.43,167,"1,915",ขท.ลพบุรีที่ 1,สระบุรี
1,503,แยก ร.พ.อานันทมหิดล - โคกสำโรง,167+355,"6,360","2,933",370,23,161,"4,600",388,111,255,157,"15,358",7.13,44,"2,703",ขท.ลพบุรีที่ 1,ลพบุรี
