ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 20 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,,,,,,,,,,,,,,
สาขา สถานีบริการ,,,,,,,,,,,,,,
ตั้งแต่เดือน พฤศจิกายน ถึง เดือน พฤศจิกายน 2562,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,"2,033","12,012","11,788","1,513","17,163",553,107,,352,4,"5,546","15,499","66,571"
1,กรุงเทพมหานคร,"1,587","8,336","7,983",837,"10,568",431,59,,230,4,"1,957","8,695","40,687"
2,สมุทรปราการ,250,"1,365","1,275",193,"2,648",25,,,40,,741,"1,868","8,404"
3,นนทบุรี,102,"1,558","1,208",352,"2,600",58,,,82,,"1,135","2,155","9,250"
4,ปทุมธานี,94,752,"1,323",131,"1,347",39,48,,,,"1,714","2,781","8,230"
,ภาคกลาง,168,"1,170",481,146,"2,326",4,48,,,,"1,341","5,702","11,385"
5,พระนครศรีอยุธยา,97,670,270,67,"1,233",,20,,,,734,"1,933","5,025"
6,อ่างทอง,,40,10,,150,,,,,,,347,547
7,ลพบุรี,,138,8,12,244,,3,,,,277,"1,114","1,796"
8,สิงห์บุรี,,62,17,,93,,7,,,,121,461,760
9,ชัยนาท,,44,47,6,58,,,,,,,424,579
10,สระบุรี,71,216,130,61,548,4,18,,,,209,"1,422","2,678"
,ภาคตะวันออก,3,"3,750","1,364",592,"3,488",61,92,"6,327",3,,"3,514","10,347","29,542"
11,ชลบุรี,,"1,766",430,411,"1,830",,53,"6,327",3,,"2,283","4,057","17,161"
12,ระยอง,,843,199,54,622,58,,,,,429,"1,964","4,169"
13,จันทบุรี,,382,102,11,214,,,,,,,720,"1,429"
14,ตราด,,46,42,,92,,,,,,,269,449
15,ฉะเชิงเทรา,,321,269,18,394,,,,,,674,"1,269","2,945"
16,ปราจีนบุรี,,335,190,24,158,3,12,,,,55,991,"1,767"
17,นครนายก,3,,55,6,80,,4,,,,,596,744
18,สระแก้ว,,58,76,68,98,,23,,,,73,481,877
,ภาคตะวันออกเฉียงเหนือ,537,"1,981",618,742,"3,077",31,57,,,,808,"20,570","28,421"
,ภาคตะวันออกเฉียงเหนือตอนบน,312,688,254,569,"1,594",24,13,,,,551,"10,133","14,137"
19,ขอนแก่น,111,278,116,61,667,3,3,,,,290,"2,570","4,099"
20,อุดรธานี,114,133,10,198,457,18,,,,,261,"1,324","2,515"
21,เลย,,,16,22,53,,,,,,,742,833
22,หนองคาย,,59,15,43,18,3,,,,,,479,617
23,มหาสารคาม,70,67,,11,144,,,,,,,946,"1,238"
24,ร้อยเอ็ด,,29,16,8,35,,,,,,,"1,158","1,246"
25,กาฬสินธุ์,,46,8,18,46,,,,,,,768,886
26,สกลนคร,17,36,16,147,96,,3,,,,,985,"1,300"
27,นครพนม,,,26,26,78,,,,,,,592,722
28,มุกดาหาร,,30,31,,,,,,,,,332,393
29,บึงกาฬ,,9,,34,,,7,,,,,236,286
,ภาคตะวันออกเฉียงเหนือตอนล่าง,225,"1,293",365,173,"1,483",7,44,,,,258,"10,437","14,285"
30,นครราชสีมา,115,777,153,85,974,,,,,,199,"3,613","5,916"
31,บุรีรัมย์,,171,12,44,76,,25,,,,,"1,226","1,554"
32,สุรินทร์,45,105,8,6,39,7,3,,,,,"1,030","1,243"
33,ศรีสะเกษ,,31,75,33,39,,,,,,,936,"1,114"
34,อุบลราชธานี,65,117,59,4,140,,7,,,,,"1,940","2,332"
