ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
1,3-101-1/38,บริษัท โอสถสภา จำกัด,"บำบัดน้ำทิ้งรวม ได้ 4,800 ลูกบาศก์เมตร/วัน",เลขที่ 348,,,รามคำแหง,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10240,3511123-24,20000000,5,270.68
2,3-101-1/40,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),โรงงานปรับคุณภาพของเสียรวม,เลขที่ 48,9,-,สุวินทวงศ์,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510,989-4050-62,43100000,10,356
3,3-101-1/45,บริษัท มหาจักรออโตพาร์ท จำกัด,ปรับคุณภาพน้ำเสียรวม,เลขที่ 67/16,5,-,เชื่อมสัมพันธ์,โคกแฝด,หนองจอก,กรุงเทพมหานคร,10530,02-543-1212,0,6,109.4
4,3-101-1/47,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ปรับคุณภาพของเสียรวม,เลขที่ 68/39,3,แสมดำ 17,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,,127500000,23,862.2
5,3-101-2/38,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),เลขที่ 68/39,3,วัดแสมดำ,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,4153728,5000000,82,439
6,3-101-4/41,บริษัท อาหารยอดคุณ จำกัด,บำบัดน้ำเสียอันเกิดจากกระบวนการผลิต รวมทั้งน้ำเสียอื่นๆของริษัท อาหารยอดคุณ จำกัดและบริษัท ยูนิแชมป์ จำกัด,เลขที่ 9,,,นิมิตใหม่,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510,02-181-0036-45,8035000,1,83.05
7,3-105-11/59,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 286,,,มาเจริญ,หนองแขม,หนองแขม,กรุงเทพมหานคร,10160,818031474,6000000,25,167.25
8,3-105-119/48,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ  อัดเศษพลาสติก  และตัดเศษโลหะ,เลขที่ 51,,แสนสบาย,-,คลองตัน,คลองเตย,กรุงเทพมหานคร,10110,,13200000,20,130
9,3-105-13/49,บริษัท บูมเจริญกิจ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม  เรื่อง  การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว  พ.ศ.2548,เลขที่ 98,,,เลียบคลองมอญ,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,10520,,53000000,20,187.22
10,3-105-14/59,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 547,,,พระราม2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,0 2452 2824,78000000,8,1053
11,3-105-20/59,นายสิทธิพงศ์  อนันต์หล่อพันธ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 518/29,,รามคำแหง 39(เทพลีลา1),,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10310,29348025,16500000,14,815
12,3-105-22/59,บริษัท กวงเซ่งหลี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/71-72,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,,5000000,14,585
13,3-105-32/54,ศรีนคร,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 12/239,7,เทียนทะเล 24,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,,8500000,7,129
