orgth,orgen,telephone,address,website,healtharea,agency,province,district,area,npsts,pooledsaliva,pooledswab
ศูนย์วิทยาศาสตร์การแพทย์ที่ 1 เชียงใหม่,Regional Medical Sciences Center 1 Chiang Mai,0-5311-2188-90,191 หมู่ 8 ต.ดอนแก้ว อ.แม่ริม จ.เชียงใหม่ 50180,http://webapp1.dmsc.moph.go.th/cm1/web/post-group/25/2,เขต 1,ภาครัฐ,เชียงใหม่,แม่ริม,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
ศูนย์วิทยาศาสตร์การแพทย์ที่ 1/1 เชียงราย,Regional Medical Sciences Center 1/1 Chiang Rai,0-5317-6224-6,148 หมู่ 3 ตำบลนางแล อำเภอเมือง จังหวัดเชียงราย 57100,http://cri.dmsc.moph.go.th/,เขต 1,ภาครัฐ,เชียงราย,เมืองเชียงราย,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
สำนักงานป้องกันควบคุมโรคที่ 1 เชียงใหม่,The Office of Disease Prevention and Control 1 Chiang Mai,0-5314-0774,447 ถนนเชียงใหม่-ลำพูน ตำบลวัดเกต อำเภอเมือง จังหวัดเชียงใหม่ 50000,https://ddc.moph.go.th/odpc1/,เขต 1,ภาครัฐ,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลนครพิงค์,Nakornping Hospital,0-5399-9200 ,159 ม.10 ถ.โชตนา ต.ดอนแก้ว อ.แม่ริม จ.เชียงใหม่ 50180,http://www.nkp-hospital.go.th/th/,เขต 1,ภาครัฐ,เชียงใหม่,แม่ริม,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลลำปาง,Lampang Hospital,0-5423-7400,28/3 ห้องอณูชีวโมเลกุล กลุ่มงานเทคนิคการแพทย์ โรงพยาบาลลำปาง 52000,http://www.lph.go.th/lpweb/,เขต 1,ภาครัฐ,ลำปาง,เมืองลำปาง,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลเขลางค์นคร-ราม ลำปาง,Khelang Nakorn Ram Hospital,0-5401-9619,ห้องปฏิบัติการโรงพยาบาลเขลางค์นครราม 79/12 ถ.พหลโยธิน ต.สวนดอก อ.เมือง จ.ลำปาง 52100,https://khelang.co.th/,เขต 1,เอกชน,ลำปาง,เมืองลำปาง,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลมะเร็งลำปาง,Lampang Cancer Hospital,0-5433-5262-8,199 ถ. ลำปาง-งาว ตำบลพิชัย อำเภอเมือง จังหวัดลำปาง 52000,http://www.lpch.go.th/lpch/,เขต 1,ภาครัฐ,ลำปาง,เมืองลำปาง,ต่างจังหวัด,เปิดตรวจแล้ว,,
โรงพยาบาลเชียงรายประชานุเคราะห์,Chiang Rai Prachanukroh Hospital,0-5391-0600,1039 ถ.สถานพยาบาล ต.เวียง อ.เมือง จ.เชียงราย 57000,https://www.crhospital.org/home/main.php,เขต 1,ภาครัฐ,เชียงราย,เมืองเชียงราย,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
โรงพยาบาลมหาราชนครเชียงใหม่,Maharaj Nakorn Chiang Mai Hospital,0-5393-6150,110 ถนนอินทวโรรส ตึกเฉลิมพระบารมี ชั้น 4 ต. ศรีภูมิ อ. เมือง จ. เชียงใหม่,https://web.med.cmu.ac.th/index.php/th/med-suandok,เขต 1,ภาครัฐ,เชียงใหม่,เมืองเชียงใหม่,ต่างจังหวัด,เปิดตรวจแล้ว,,เปิดตรวจแล้ว
โรงพยาบาลศรีสังวาลย์,Srisangwan Hospital,"0-5361-1378
",101 ถ.สิงหนาทบำรุง ต.จองคำ อ.เมือง จ.แม่ฮ่องสอน,https://www.facebook.com/srisangwanhospital101/,เขต 1,ภาครัฐ,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ต่างจังหวัด,เปิดตรวจแล้ว,เปิดตรวจแล้ว,เปิดตรวจแล้ว
